report_id,facility_id,inspection_date,inspector_id,inspection_type,findings_text,compliance_score,outcome,penalty_amount_cad
AER0013,F002,2025-11-04,AER-INSP851,targeted,Comprehensive inspection of Horizon Oil Sands end pit lake design. Monitoring data reviewed against predictions. Water quality trajectory consistent with closure plan model. Fish habitat assessment in reference lakes ongoing. Adaptive management framework adequate.,90,compliant,0
AER0014,F002,2025-12-26,AER-INSP559,targeted,Routine inspection of Scotford Upgrader flare operations. Directive 060 compliance reviewed. Continuous flaring hours within monthly allowance. Flare tip inspection conducted — adequate combustion. Steam-to-gas ratio optimal. Flare gas recovery rate: 97.8%.,71,compliant,94187.84
AER0015,F001,2025-11-08,AER-INSP706,comprehensive,Site-specific inspection: Kearl Lake cumulative effects assessment. Regional groundwater model reviewed. Current extraction rates within sustainable yield estimates. No measurable drawdown at regional monitoring wells. Next assessment due in 3 years per approval.,99,compliant,0
AER0016,F005,2025-11-05,AER-INSP775,referred,Audit of pipeline crossing at Athabasca River for Waupisoo Pipeline. Depth-of-cover survey conducted. Minimum cover: 2.8m (requirement: 1.2m). No evidence of scour or bank erosion threatening pipeline. Next survey scheduled per CER requirements.,99,compliant,0
AER0017,F005,2025-03-15,AER-INSP684,comprehensive,Targeted inspection of Christina Lake produced water disposal program. Disposal well injection pressures reviewed. Maximum operating pressure within 90% of fracture gradient as required. Formation pressure monitoring confirms no communication between zones.,89,compliant,40291.46
AER0018,F001,2025-05-23,AER-INSP219,random,Inspection of Horizon mine reclamation progress. 2025 reclamation areas assessed. Soil placement depths meet prescriptions. Revegetation species mix consistent with reclamation plan. Erosion control measures adequate. Progress on track for 5-year reclamation target.,91,non_compliance,0
AER0019,F003,2025-04-10,AER-INSP340,targeted,Compliance audit: Keystone Terminal storage tank inspection program. API 653 inspection records reviewed. All tanks current on 10-year external and 20-year internal inspection schedules. Two tanks scheduled for internal inspection in next 6 months. Compliant.,93,minor_non_compliance,0
AER0020,F003,2025-09-05,AER-INSP813,routine,Random audit of spill reporting for Pembina Peace Pipeline operations. 12-month incident records reviewed against AER reporting portal. All reportable incidents submitted within timelines. Post-incident investigation reports complete. Corrective actions tracked to closure.,77,compliant,0
AER0021,F002,2025-06-16,AER-INSP305,referred,Field inspection of SAGD well abandonment at Christina Lake legacy wells. 12 wells abandoned in 2024-25 program reviewed. Cement plug placement verified against Directive 020. Surface reclamation in progress. Environmental site assessments submitted. Phase 1 certificates obtained for 8 of 12.,74,non_compliance,0
AER0022,F002,2025-10-16,AER-INSP380,routine,Audit of Scotford Upgrader release reporting accuracy. Cross-referenced National Pollutant Release Inventory submission with facility continuous monitoring data. Minor discrepancy in PM2.5 calculation methodology. Technical memo submitted explaining methodology choice. AER accepted.,94,compliant,0
AER0023,F003,2025-03-08,AER-INSP638,random,Inspection of CNRL Horizon closure cost estimate and financial security. Current posted security: $2.1 billion. AER Mine Financial Security Program assessment confirms adequate for current disturbance footprint. Next comprehensive reassessment scheduled for 2027.,71,minor_non_compliance,0
AER0024,F005,2025-12-27,AER-INSP478,referred,Pipeline integrity management program audit for Express Pipeline. ILI run schedules reviewed — on track. Anomaly response times compliant. Risk assessment methodology consistent with CSA Z662. One recommendation: enhance coating disbondment tracking in database.,89,compliant,5553.36
AER0025,F002,2025-07-03,AER-INSP777,routine,Comprehensive audit of Christina Lake SAGD monitoring reporting. Monthly and annual reports submitted on time. Data quality assurance procedures documented. One monitoring well with data gap due to equipment failure — noted and being addressed.,81,minor_non_compliance,4470.23
